Community Name,MHI,City Address,City,County,Zip Code,Population of Community,Does your community have a collection system? ,Census Place,Notes
Burnsville,63649,100 Civic Center Pkwy,Burnsville,Dakota,55337,61203,Yes,Burnsville,
Elysian,63929,110 W. Main Street  Box 246,Elysian,Le Sueur/Waseca,56028,737,Yes,Elysian,
Royalton,47841,12 N Birch St / PO Box 276,Royalton,Morrison,56373,1242,Yes,Royalton,
Marietta,36250,PO Box 123,Marietta,Lac qui Parle,56257,142,Yes,Marietta,
Garfield,39250,Box 51,Garfield,Douglas,56332,354,Yes,Garfield,
Newport,59423,596 7th Avenue,Newport,Washington,55055,3435,Yes,Newport,
Danube,49904,400 Main St PO Box 397,Danube,Renville,56230,505,Yes,Danube,
Western Lake Superior Sanitary District (WLSSD),,2626 Courtland Street,"Duluth, MN",St. Louis,55806,137536,Yes,Duluth,
Waldorf,48438,119 S. Main St.  PO Box 55,Waldorf,Waseca,56091-0055,225,Yes,Waldorf,
Shorewood,110469,5755 Country Club Rd,Shorewood,Hennepin,55331-8926,7496,Yes,Shorewood,
Bovey,33625,Box 399,Bovey,Itasca,55709,804,Yes,Bovey,
Erhard,39286,"506 MAIN STREET , PO Box 96",Erhard,Otter Tail,56534-0096,146,No,Erhard,
Tracy,40957,336 Morgan Street,Tracy,Lyon,56175,2163,Yes,Tracy,
Herman,40500,PO Box 241,Herman,Grant,56248,429,Yes,Herman,
Grand Rapids,39777,420 Pokegama Ave N,Grand Rapids,Itasca,55744,11242,Yes,Grand Rapids,
Lakeville,95130,20195 Holyoke Avenue,Lakeville,Dakota,55044,65831,Yes,Lakeville,
Duluth,45034,411 W. 1st Street,Duluth,St. Louis,55802,86211,Yes,,
Lowry,55500,PO Box 56,Lowry,Pope,56349,299,Yes,Lowry,
Gilman,68472,PO Box 212,Gilman,Benton,56333,224,Yes,Gilman,
Waseca,46167,508 S State St,Waseca,Waseca,56093,9410,Yes,Waseca,
Sherburn,46086,PO Box 667,Sherburn,Martin,56171,1137,Yes,Sherburn,
Minnetonka Beach,173000,PO Box 146,Minnetonka Beach,Hennepin,55361,539,Yes,Minnetonka Beach,
La Salle,43438,P.O Box143,LaSalle,Watonwan,56056,60,Yes,La Salle,
Watertown,53789,PO Box 279,Watertown,Carver,55388,4451,Yes,Watertown,
Byron,78625,680 Byron Main Ct NE,Byron,Olmsted,55920,5392,Yes,Byron,
Winnebago,42083,140 Main St S PO Box 35,Winnebago,Faribault,56098,1437,Yes,Winnebago,
Belle Plaine,71964,218 N. Meridain Street,Belle Plaine,Scott,56011,6838,Yes,Belle Plaine,
Mabel,41250,201 S. Main Street,Mabel,Fillmore,55954,780,Yes,Mabel,
Hitterdal,61750,PO Box 67,Hitterdal,Clay,56552,201,Yes,Hitterdal,
Moorhead,53360,500 Center Ave PO Box 779,Moorhead,Clay,56561,47947,Yes,Moorhead,
Rockford,72419,6031 Main St,Rockford,Wright,55373,4316,Yes,Rockford,
Hastings,62976,1225 Progress Drive,Hastings,Dakota,55033,23000,Yes,Hastings,
Littlefork,36522,901 Main St,Littlefork,Koochiching,56653,600,Yes,Littlefork,
Columbia Heights,47717,590 40th Avenue NE,Columbia Heights,Anoka,55421,20118,Yes,Columbia Heights,
Birchwood,95809,207 Birchwood Ave,Birchwood,Washington,55110,870,Yes,Birchwood Village,
St Bonifacius,82891,8535 Kennedy Memorial Dr,St. Bonifacius,Hennepin,55375,2291,Yes,St. Bonifacius,
Le Sueur,50833,203 S Second St,Le Sueur,Le Sueur,56058,4150,Yes,Le Sueur,
Stephen,,"413 5th Street, Suite B",Stephen,Marshall,56757,646,Yes,Stephen,
St Michael,92546,11800 Town Center Drive NE,St. Michael MN,Wright,55376,17565,Yes,St. Michael,
Centerville,88036,1880 Main Street,Centerville,Anoka,55038,4050,Yes,Centerville,
Albertville,96315,5959 Main Ave,Albertville,Wright,55301,7262,Yes,Albertville,
Borup,59688,PO Box 21,Borup,Norman,56519,91,Yes,Borup,
St James,43995,PO Box 70,St. James,Watonwan,56081,4605,Yes,St. James,
Pipestone,40233,119 2nd Ave SW,Pipestone,Pipestone,56164,4317,Yes,Pipestone,
Deerwood,,"23770 Forest Road, Po Box 187",Deerwood,Crow Wing,56444,532,Yes,Deerwood,
Fergus Falls,43852,112 W. Washington Ave.,Fergus Falls,Otter Tail,56537,13351,Yes,Fergus Falls,
Long Lake,68125,"450 Virginia Avenue, PO Box 606",Long Lake,Hennepin,55356,1768,Yes,Long Lake,
Peterson,51250,PO Box 67,Peterson,Fillmore,55962,199,Yes,Peterson,
Minnetonka,78589,14600 Minnetonka Blvd,Minnetonka,Hennepin,55345-1502,53394,Yes,Minnetonka,
Emily,,39811 State Highway 6,Emily,Crow Wing,56447,838,Yes,Emily,
Cass Lake,33977,330 Second Street NW,Cass Lake,Cass,56633,770,Yes,Cass Lake,
MCES - Metro Council Env. Services,,390 Robert Street N.,St. Paul,Ramsey,55101,,Yes,,
Falcon Heights,71765,2077 W Larpenteur Avenue,Falcon Heights,Ramsey,55113,5321,Yes,Falcon Heights,
Brandon,53000,PO Box 137,Brandon,Douglas,56315,489,Yes,Brandon,
Cohasset,60597,305 NW 1st Ave,Cohasset,Itasca,55721,2757,Yes,Cohasset,
Baxter,57715,PO Box 2626,Baxter,Crow Wing,56425,8500,Yes,Baxter,
Comfrey,53611,PO Box 175,Comfrey,Brown,56019,382,Yes,Comfrey,
St Leo,38750,100 N. Washington,St Leo,Yellow Medicine,56264,100,Yes,St. Leo,
Taunton,29250,PO Box 337,Taunton,Lyon,56291,139,Yes,Taunton,
Granite Falls,44432,641 Prentice St,Granite Falls,Yellow Medicine & Chippewa,56241,2897,Yes,Granite Falls,
South Haven,39375,521 Oak Ave S,South Haven,Wright,55382,190,Yes,South Haven,
Foreston,64896,187 Washington Ave PO Box 66,Foreston,Foreston,56330,533,Yes,Foreston,
Plymouth,,3400 Plymouth Blvd,Plymouth,Hennepin,55447,78395,Yes,Plymouth,
Albany,48843,Box 370,Albany,Stearns,56307,2830,Yes,Albany,
Coleraine,47283,302 Roosevelt St,Coleraine,Itasca,55722,2002,Yes,Coleraine,
Tower-Breitung Wastewater Board,,P.O. Box 576,602 Main Street,St. Louis,55790,,Yes,Tower,
Ortonville,39971,315 Madison Avenue,Ortonville,Big Stone,56278,1915,Yes,Ortonville,
Pillager,37917,306 Elm Ave W,Pillager,Cass,56473,469,Yes,Pillager,
Sauk Rapids,48410,250 Summit Ave N,Sauk Rapids,Benton,56379,12890,Yes,Sauk Rapids,
Gully,41667,PO Box 26,Gully,Polk,56646-5000,66,No,Gully,
Mendota,66250,PO Box 50688,Mendota,Dakota,55150,198,Yes,Mendota,
Clear Lake - Clearwater Sewer Authority,,6491 River Road S.,Clear Lake,Sherburne,55319,,No,Clear Lake,
Lexington,54637,9180 Lexington Avenue,Lexington,Anoka,55014,2356,Yes,Lexington,
Farmington,,430 Third Street,Farmington,MN,55024,22309,Yes,Farmington,
Rogers,103980,22350 S Diamond Lake Rd,Rogers,Hennepin,55374,12539,Yes,Rogers,
Alexandria Lakes Area Sanitary District,,2201 Nevada St,Alexandria,Douglas,56308,26500,Yes,Alexandria,
Forada,,10991 Tobys Ave SE,Alexandria,Douglas,56308,185,Yes,Forada,
Cyrus,41250,126 West Main Street PO Box 36,Cyrus,Pope,56323,288,Yes,Cyrus,
White Bear Township,,1281 Hammond Road,White Bear Township,Ramsey,55110,11000,Yes,,township
White Twp,,16 West 2nd Avenue North PO Box 146,Aurora,St. Louis,55705,1492,Yes,,township
Crane Lake Water and Sanitary District,,PO Box 306,Crane Lake,St. Louis,55725,150,Yes,,township
Medina,132045,2052 County Road 24,Medina,Hennepin,55340-9790,6996,Yes,Medina,
Hallock,59821,PO Box 336,Hallock,Kittson,56728,981,Yes,Hallock,
Inver Grove Heights,65108,8150 Barbara Ave E,Inver Grove Hts,Dakota,55077,35234,Yes,Inver Grove Heights,
Shafer,53125,17656 303rd St,Shafer,Chisago,55074,1089,Yes,Shafer,
Regal,59375,14451 State Hwy 55 NE,,Kandiyohi,56312-9020,29,No,Regal,
Urbank,,"87 Main Street East, Parkers Prairie",Urbank,Otter Tail,56361,54,Yes,Urbank,
Chisago City,71875,10625 Railroad Ave,PO Box 611,Chisago,55013-0611,5584,Yes,Chisago City,
Freeborn,44375,402 Park St,Freeborn,Freeborn,56032,297,Yes,Freeborn,
Amboy,42344,PO Box 250,Amboy,Blue Earth,56010,534,Yes,Amboy,
Plainview,55226,241 W Broadway,Plainview,Wabasha,55964-1253,3340,Yes,Plainview,
Ellendale,,106 6th Ave. W PO Box 385,Ellendale,Steele,56026,647,Yes,Ellendale,
Hector,55776,301 S Main,Hector,Renville,55342,1151,Yes,Hector,
Hugo,82880,14669 Fitzgerald Ave N,Hugo,Washington,55038,13878,Yes,Hugo,
Heron Lake,38472,312 10th Street,Heron Lake,Jackson,56137,698,Yes,Heron Lake,
Warren,50357,120 E Bridge Ave.,Warren,Marshall,56762,1563,Yes,Warren,
Chisago Lakes Joint Sewage Treatment Commission,,PO Box 313,"Center City, MN",Chisago,55012,,Yes,Center City,potentially larger area
Bethel,53438,23820 Dewey St.  PO Box 64,Bethel,Anoka,55005,466,Yes,Bethel,
Bertha,32813,208 2nd Avenue NW,Bertha,Todd,56437,497,Yes,Bertha,
Wilton,66250,195 Melby Lane SW,Wilton,Beltrami,56601,298,No,Wilton,
Maple Lake,60324,10 Maple Avenue S PO Box 757,Maple Lake,Wright,55358,2059,Yes,Maple Lake,
Milroy,41250,PO Box 9,Milroy,Redwood,56263,252,Yes,Milroy,
Tonka Bay,108250,4901 Manitou Rd,Tonka Bay,Hennepin,55331,1475,Yes,Tonka Bay,
Lanesboro,44432,"Box 333, 202 Parkway Avenue South",Lanesboro,Fillmore,55949,754,Yes,Lanesboro,
Mapleton,50703,104 2nd Avenue NE,Mapleton,Blue Earth,56065,1756,Yes,Mapleton,
Frost,34750,PO Box 583,Frost,Faribault,56033,198,Yes,Frost,
Perley,65000,PO Box 437,Perley,Norman,56574,92,Yes,Perley,
Eagle Bend,38500,PO Box 215,Eagle Bend,Todd,56446,535,Yes,Eagle Bend,
Franklin,41806,320 Second Ave E PO Box 326,Franklin,Renville,55333,471,Yes,Franklin,
Andover,93932,1685 Crosstown Blvd NW,Andover,Anoka,55304,31692,Yes,Andover,
Fairfax,42552,18 - 1st Street SE,Fairfax,Renville,55332,1200,Yes,Fairfax,
Quamba,,22735 Quamba St,Brook Park,Kanabec,55007,123,Yes,Quamba,
Waubun,40179,1301 - 1st St,Waubun,Mahnomen,56589-0187,400,Yes,Waubun,
Mahnomen,36645,104 W Madison Ave PO Box 250,Mahnomen,Mahnomen,56557,1225,Yes,Mahnomen,
Brownsville,61406,PO Box 138,Brownsville,Houston,55919,466,Yes,Brownsville,
Lake Crystal,61196,100 E Robinson St,Lake Crystal,Blue Earth,56055-0086,2593,Yes,Lake Crystal,
Wykoff,41583,"217 North Gold Street, P.O. Box 218",Wykoff,Fillmore,55990-0218,444,Yes,Wykoff,
Remer,24091,106 Spruce St NW,Remer,Cass,56672,370,Yes,Remer,
Henriette,25625,119 Main St. S.,"Henriette, MN 55036",Pine,55036,77,Yes,Henriette,
Henning,30114,612 Front St.,Henning,Otter Tail,56551,802,Yes,Henning,
Cannon Falls,43092,918 River Road,Cannon Falls,Goodhue,55009,4083,Yes,Cannon Falls,
Kellogg,52500,350 E Belvidere St,Kellogg,Wabasha,55945,469,Yes,Kellogg,
Stillwater,76970,216 N Fourth St,Stillwater,Washington,55082,19100,Yes,Stillwater,
Odessa,55625,Box 67,Odessa,Big Stone,56276,113,Yes,Odessa,
Beaver Bay,42000,PO Box 446,Beaver Bay,Lake,55601,181,Yes,Beaver Bay,
North Mankato,55440,1001 Belgrade Ave,North Mankato,Nicollet,56003,13520,Yes,North Mankato,
Ely,36059,209 E Chapman St,Ely,St. Louis,55731,3460,Yes,Ely,
Dayton,83681,12260 S Diamond Lake Rd,Dayton,Hennepin/Wright,55327,5011,Yes,Dayton,
Victoria,131971,Box 36,Victoria,Carver,55386,8200,Yes,Victoria,
Hill City,26719,PO Box 160,Hill City,Aitkin,55748,610,Yes,Hill City,
Cottage Grove,,12800 Ravine Parkway South,Cottage Grove,Washington,55016,35632,Yes,Cottage Grove,
Rushmore,40536,136 N Thompson Box 227,Rushmore,Nobles,56168,342,Yes,Rushmore,
Eyota,64214,38 South Front Street SW,Eyota,Olmsted,55934,2039,Yes,Eyota,
Stacy,52863,30955 Forest Blvd,Stacy,Chisago,55079,1456,Yes,Stacy,
GEM Sanitary District,,33805 State Hwy 4 Box 90,Greenwald Minn,Stearns,56335,,Yes,Greenwald,potentially larger area
Walker,31750,PO Box 207,Walker,Cass,56484,941,Yes,Walker,
Frazee,,P.O. Box 387,Frazee,Becker,56544,1401,Yes,Frazee,
Deer Creek,30938,Box 272,Deer Creek,Otter Tail,56527,327,Yes,Deer Creek,
Lester Prairie,51705,PO Box 66,Lester Prairie,McLeod,55354,1705,Yes,Lester Prairie,
Kandiyohi,44722,Box 276,Kandiyohi,Kandiyohi,56251,491,Yes,Kandiyohi,
Babbitt,40833,71 South Dr,Babbitt,St. Louis,55706,1505,Yes,Babbitt,
Ceylon,35000,301 W Main,Ceylon,Martin,56121,369,Yes,Ceylon,
Mankato,41425,PO Box 3368,Mankato,Blue Earth,56002,39309,Yes,Mankato,
Savage,94620,6000 McColl Drive,Savage,Scott,55378,27325,Yes,Savage,
Otsego,79117,13400 - 90th Street,Otsego,Wright,55330,17500,Yes,Otsego,
Dundas,66300,100 Railway St N,PO Box 70,Rice,55019-0070,1700,Yes,Dundas,
Edina,88298,4801 W 50th Street,Edina,Hennepin,55424-1394,47941,Yes,Edina,
Corcoran,97778,8200 Co. Rd. 116,Corcoran,Hennepin,55340,5986,Yes,Corcoran,
Chickamaw Beach,50500,6850 Indian Trl Ln,Chickamaw Beach,Cass,56474-6071,114,Yes,Chickamaw Beach,
Willow River,43333,8099 Co Rd 61 PO Box 125,Willow River,Pine,55795,415,Yes,Willow River,
Mahtomedi,94258,600 Stillwater Road,Mahtomedi,Washington,55115,8030,Yes,Mahtomedi,
Correll,,"109 Highway 7 East, Ste. 100",Correll,Big Stone,56227-0146,34,No,Correll,
Brooten,37411,PO Box 81,Brooten,Stearns,56316-0081,750,Yes,Brooten,
Elgin,64531,PO Box 236,Elgin,Wabasha,55932,1089,Yes,Elgin,
Hokah,44375,"211 Main St., Box 311",Hokah,Houston,55941,572,Yes,Hokah,
Harmony,30855,PO Box 488,Harmony,Fillmore,55939-0438,1020,Yes,Harmony,
Eagle Lake,73654,PO Box 159,Eagle Lake,Blue Earth,56024,3158,Yes,Eagle Lake,
Columbus,,16319 Kettle River Blvd,Columbus,Anoka,55025,3891,Yes,Columbus,
Clontarf,47500,P.O. Box 307,City Of Clontarf,Swift,56226,159,Yes,Clontarf,
Nerstrand,67500,PO Box 161,Nerstrand,Rice,55053,295,Yes,Nerstrand,
Le Sueur,,1500 N Commerce St,Le Sueur,Le Sueur,56058,4050,Yes,Le Sueur,
Excelsior,46995,339 Third St,Excelsior,Hennepin,55331,2188,Yes,Excelsior,
Courtland,70208,329 Main Street,Courtland,Nicollet,56021,611,Yes,Courtland,
Holdingford,53224,Box 69,Holdingford,Stearns,56340,708,Yes,Holdingford,
Taopi,,401 1st Street,Taopi,Mower,55977-0033,58,No,Taopi,
Tyler,48125,"230 N Tyler St, PO BOX C.",Tyler,Lincoln,56178,1127,Yes,Tyler,
Bricelyn,34375,PO Box 338,Bricelyn,Faribault,56014,365,Yes,Bricelyn,
Browerville,47500,PO Box 247,Browerville,Todd,56438,790,Yes,Browerville,
Taconite,54808,PO Box 137,Taconite,Itasca,55786,635,Yes,Taconite,
Hilltop,22073,4555 Jackson St NE,Hilltop,Anoka,55421,766,Yes,Hilltop,
Seaforth,47083,23395 - 295th St,Wabasso,Redwood,56293-1395,86,Yes,Seaforth,
Fridley,54652,7071 University Ave NE,Fridley,Anoka,55432,29374,Yes,Fridley,
Duluth - North Shore Sanitary District,,"City of Duluth, Duluth Township, & Lakewood Township",Duluth North Shore Sanitary District,St Louis,55804,410,Yes,,
Owatonna,55884,540 W Hills Circle,Owatonna,Steele,55060,25599,Yes,Owatonna,
Lewiston,60347,PO Box 129,Lewiston,Winona,55952,1620,Yes,Lewiston,
Barnum,51818,3842 Main Street,Barnum,Carlton,55707,613,Yes,Barnum,
Iron Junction,50000,P.O. Box 38,Iron Junction,St. Louis,55751,86,Yes,Iron Junction,
Cokato,51893,PO Box 1030,Cokato,Wright,55321,2694,Yes,Cokato,
Bellechester,58750,299 Great Western Ave,Bellechester,Goodhue/  Wabasha,55027,175,Yes,Bellechester,
Wyoming,77708,26885 Forest Blvd,Wyoming,Chisago,55092,8037,Yes,Wyoming,
Wabasso,38611,PO Box 60,Wabasso,Redwood,56293,696,Yes,Wabasso,
Wood Lake,45357,PO Box 115,Wood Lake,Yellow Medicine,56297,421,Yes,Wood Lake,
Lismore,38750,PO Box 188,Lismore,Nobles,56155,227,Yes,Lismore,
Moose Lake,34375,412 Fourth St PO Box 870,Moose Lake,Carlton,55767,2751,Yes,Moose Lake,
Caledonia,,231 E Main St,Caledonia,Minnesota,55921-1396,2836,Yes,Caledonia,
St Martin,63021,165 W Street,St Martin,Stearns,56376,308,Yes,St. Martin,
Scandia,84130,14727 209th St. N,Scandia,Washington,55073,3945,Yes,Scandia,
Sunburg,48333,Box 84,Sunburg,Kandiyohi,56289,100,Yes,Sunburg,
Faribault,48220,208 NW 1st Avenue,Faribault,Rice,55021,23352,Yes,Faribault,
Canton,33365,106 South Main St,Canton,Fillmore,55922,346,Yes,Canton,
Wrenshall,,400 Alcohol Road,Wrenshall,Carlton,55797,399,Yes,Wrenshall,
Grygla,47955,219 West Beltrami St.  PO Box 76,Grygla,Marshall,56727,221,Yes,Grygla,
Long Prairie,37825,615 Lake St S,Long Prairie,Todd,56347,3458,Yes,Long Prairie,
Richfield,52954,6700 Portland Ave S,Richfield,Hennepin,55423,35376,Yes,Richfield,
Kettle River,31750,Box 145,Kettle River,Carlton,55757,180,Yes,Kettle River,
North Branch,67122,PO Box 910,North Branch,Chisago,55056,10125,Yes,North Branch,
Steen,28500,222 S. Main,Steen,Rock,56173,180,Yes,Steen,
Lamberton,45650,PO Box 356,Lamberton,Redwood,56152,824,Yes,Lamberton,
Pennock,41964,205 NW 2 St PO Box 159,Pennock,Kandiyohi,56279,516,Yes,Pennock,
Randall,39485,525 Pacific Ave PO Box 229,Randall,Morrison,56475,650,Yes,Randall,
Champlin,83851,11955 Champlin Drive,Champlin,Hennepin,55316,24827,Yes,Champlin,
Foley,52264,PO Box 709,Foley,Benton,56329,2603,Yes,Foley,
Brooklyn Center,44855,6301 Shingle Creek Pkwy,Brooklyn Center,Hennepin,55430,30104,Yes,Brooklyn Center,
Brooklyn Center,44855,6301 Shingle Creek Pkwy,Brooklyn Center,Hennepin,55430,30104,Yes,Brooklyn Center,
Kennedy,47292,PO Box 7,Kennedy,Kittson,56733,193,Yes,Kennedy,
Delano,,"234 2nd Street North, P.O. Box 108",Delano,Wright,55328,6058,Yes,Delano,
Upsala,54688,PO Box 159,Upsala,Morrison,56384,427,Yes,Upsala,
Mountain Lake,44052,PO Box C,Mountain Lake,Cottonwood,56159,2104,Yes,Mountain Lake,
Glyndon,72000,PO Box 223,Glyndon,Clay,56547,1413,Yes,Glyndon,
Chisholm,39057,316 W Lake Street,Chisholm,St. Louis,55719,4976,Yes,Chisholm,
Lake Benton,30500,PO Box 206,Lake Benton,Lincoln,56149,683,Yes,Lake Benton,
Holt,64583,201 LINCOLN AVE,Holt,Marshall,56738-0000,88,No,Holt,
St Paul,48757,"700 City Hall Annex, 25 W. 4th Street",Saint Paul,Ramsey,55102,310368,Yes,St. Paul,
Mora,39982,101 Lake Street South,Mora,Kanabec,55051,3571,Yes,Mora,
Crosslake,,37028 county rd 66,Crosslake,Crow Wing,56442,2500,Yes,Crosslake,
Nisswa,64435,PO Box 410,Nisswa,Crow Wing,56468,1971,Yes,Nisswa,
Minnesota Lake,55521,103 Main St N,PO Box 98,Faribault,56068-0098,687,Yes,Minnesota Lake,
Spring Lake Park,51719,1301 81st Ave NE,Spring Lake Park,Anoka/Ramsey,55432,6513,Yes,Spring Lake Park,
Wabasha,37361,PO Box 268,Wabasha,Wabasha,55981,2521,Yes,Wabasha,
Middle River,37500,PO Box 56,Middle River,Marshall,56737,309,Yes,Middle River,
Eden Prairie,97640,8080 Mitchell Road,Eden Prairie,Hennepin,55344,62729,Yes,Eden Prairie,
Campbell,52500,PO Box 104,Campbell,Wilkin,56522,158,Yes,Campbell,
Serpent Lake Sanitary Sewer District,,350 2nd St. NW,Crosby,Crow Wing,56444,4000,No,Crosby,potentially larger area
Hibbing,43831,401 E 21st St,Hibbing,St. Louis,55746,16361,Yes,Hibbing,
Breckenridge,42935,420 Nebraska Avenue,Breckenridge,Wilkin,56520,3340,Yes,Breckenridge,
Hawley,56630,PO Box 69,"Hawley, MN",Clay,56549,2067,Yes,Hawley,
Blue Earth,42883,125 West 6th Street; PO Box 38,Blue Earth,Faribault,56013,3353,Yes,Blue Earth,
Sacred Heart,35694,309 First Ave PO Box 128,Sacred Heart,Renville,56285,548,Yes,Sacred Heart,
Lino Lakes,,600 Town Center Parkway,Lino Lakes,Anoka,55014,22119,Yes,Lino Lakes,
Minneapolis,51480,450 S 5th Street,Minneapolis,Hennepin,55415,427963,Yes,Minneapolis,
Kiester,,116 north main st,kiester mn,fairbult,56051,501,Yes,Kiester,
Rushford,40568,Box 430,Rushford,Fillmore,55971,1772,Yes,Rushford,
Madison Lake,,525 Main Street PO BOX 295,Madison Lake,Blue Earth County,56063,1136,Yes,Madison Lake,
Lauderdale,41792,1891 Walnut St,Lauderdale,Ramsey,55113,2271,Yes,Lauderdale,
Currie,40536,PO Box 169,Currie,Murray,56123,223,Yes,Currie,
Menahga,26094,115 - 2nd Street PO Box C,Menahga,Wadena,56464,1306,Yes,Menahga,
Lansing Township,47614,P.O.Box 85,Lansing,Mower,55950,200,Yes,,township
Northfield,57866,801 Washington Street,Northfield,Rice,55057-2565,20007,Yes,Northfield,
Wilmont,45000,PO Box 76,Wilmont,Nobles,56185,339,Yes,Wilmont,
Zumbrota,45947,175 West Ave,Zumbrota,Goodhue,55992,3333,Yes,Zumbrota,
Isle,27431,P.O. Box 427,Isle,Mille Lacs,56342-0427,751,Yes,Isle,
Apple Valley,,7100 147th Street West,apple valley,dakota,55124,49500,Yes,Apple Valley,
Monticello,70254,505 Walnut Street Suite 1,Monticello,Wright,55362,12759,Yes,Monticello,
Oklee,37500,PO Box 190,Oklee,Red Lake,56742,435,Yes,Oklee,
Rush City,42629,PO Box 556,Rush City,Chisago,55069-0556,3074,Yes,Rush City,
Greenbush,51544,244 Main St N Box 98,Greenbush,Roseau,56726,719,Yes,Greenbush,
Trimont,43229,PO Box 405,Trimont,Martin,56176,747,Yes,Trimont,
Lilydale,75625,1011 Sibley Memorial Hwy,Lilydale,Dakota,55118,603,Yes,Lilydale,
Jackson,43274,80 West Ashley St,Jackson,Jackson,56143,3323,Yes,Jackson,
Ramsey,86794,7550 Sunwood Drive,Ramsey,Anoka,55303,24811,Yes,Ramsey,
Roseville,63678,2660 Civic Center Dr,Roseville,Ramsey,55113,34600,Yes,Roseville,
North Long Lake Sewer District,,6158 Birchdale road,Brainerd,Crow wing,56401-3907,150,Yes,Brainerd,potentially larger area
Baudette,34130,106 W Main Box 548,Baudette,Lake of the Woods,56623,1106,Yes,Baudette,
Preston,43150,PO Box 657,Preston,Fillmore,55965,1325,Yes,Preston,
Cascade Twp,,2025 75th Street NW,Rochester,Olmsted,55906,,No,,township
Coon Rapids,64203,11155 Robinson Drive,Coon Rapids,Anoka,55433,61476,Yes,Coon Rapids,
Porter,57500,Lone Tree Street and Highway 68,Porter,Yellow Medicine,56280,183,Yes,Porter,
Fairmont,47428,100 Downtown Plaza,Fairmont,Martin,56031,10666,Yes,Fairmont,
Wolf Lake,,Po Box 5,Wolf Lake,Becker,56593,70,Yes,Wolf Lake,
Buffalo,63830,212 Central Avenue,Buffalo,Wright,55313,16210,Yes,Buffalo,
"Coleraine, Bovey, Taconite Joint Wastewater Commission",,PO Box 670,"Coleraine, MN",Itasca,55722,2224,Yes,,
Avon,65962,140 Stratford St,Avon,Stearns,56310,1550,Yes,Avon,
Orono,116292,PO Box 66,Crystal Bay,Hennepin,55323,7437,Yes,Orono,
Brooklyn Park,62974,5200 85th Ave N,Brooklyn Park,Hennepin,55316,81000,Yes,Brooklyn Park,
Cleveland,58438,PO Box 309,Cleveland,Le Sueur,56017,719,Yes,Cleveland,
Perham,52708,PO Box 130,Perham,Otter Tail,56573,2985,Yes,Perham,
Vergas,40000,PO Box 32,Vergas,Otter Tail,56587,331,Yes,Vergas,
Swanville,35682,PO Box 296,Swanville,Morrison,56382,350,Yes,Swanville,